PMV,PPD,SET,To inferior,To superior,People HeatGain,TO
1.1,30.51390792,32.7,17.24,22.19,1034.4,25.16338691
1.1,30.51390792,32.58,17.27,22.26,1379.2,25.2314577
1.1,30.51390792,32.45,17.28,22.31,1379.2,25.3424478
1.1,30.51390792,32.28,17.34,22.37,1379.2,25.42458886
1.09,30.05847259,32.17,17.4,22.41,1379.2,25.44974944
1.09,30.05847259,32.14,17.36,22.43,1379.2,25.44237393
0.67,14.43255369,29.61,17.4,22.48,1379.2,23.20758882
0.92,22.87513933,31.91,17.13,22.11,1379.2,24.00401873
0.99,25.70049293,32.32,17.13,22.11,1379.2,24.34667278
1.03,27.39974232,32.56,17.13,22.11,1379.2,24.59900371
1.07,29.15798964,32.78,17.13,22.11,1034.4,24.83784668
1.09,30.05847259,32.75,17.18,22.14,689.6,25.02318785
1.08,29.6064854,32.42,17.29,22.3,1034.4,25.18470417
1.09,30.05847259,32.22,17.34,22.37,1379.2,25.36146964
1.09,30.05847259,32.02,17.42,22.49,1379.2,25.53982893
1.1,30.51390792,31.85,17.49,22.59,1379.2,25.7238956
1.1,30.51390792,31.76,17.56,22.66,1379.2,25.82268178
1.1,30.51390792,31.72,17.53,22.71,1379.2,25.85930985
0.91,22.48738346,31.52,17.22,22.24,1379.2,24.1491131
1.02,26.96930872,32.49,17.13,22.11,1379.2,24.51960706
1.05,28.27163923,32.69,17.13,22.11,1379.2,24.73792738
1.09,30.05847259,32.88,17.15,22.14,1379.2,24.96520223
1.1,30.51390792,32.68,17.25,22.2,1034.4,25.17410788
1.08,29.6064854,32.14,17.36,22.41,689.6,25.33892249
1.08,29.6064854,31.93,17.45,22.53,1034.4,25.51738723
1.12,31.4349433,32.03,17.44,22.56,1379.2,25.74079125
1.25,37.72576418,32.84,17.47,22.57,1379.2,26.32229241
1.28,39.24416523,33.19,17.41,22.45,1379.2,26.41187445
1.13,31.90045026,31.88,17.55,22.7,1379.2,25.99058288
1.1,30.51390792,31.65,17.6,22.75,1379.2,25.95327444
0.98,25.28516049,31.91,17.23,22.26,1379.2,24.53300407
1.06,28.71302734,32.71,17.13,22.11,1379.2,24.75557239
1.09,30.05847259,32.91,17.15,22.13,1379.2,24.98000165
1.11,30.97274678,32.83,17.22,22.2,1379.2,25.20327342
1.1,30.51390792,32.36,17.34,22.34,1034.4,25.34783385
1.07,29.15798964,31.84,17.43,22.54,689.6,25.47544445
1.07,29.15798964,31.63,17.54,22.66,1034.4,25.60402023
1.09,30.05847259,31.72,17.54,22.67,1379.2,25.73441938
1.1,30.51390792,31.74,17.57,22.67,1379.2,25.84561886
1.11,30.97274678,31.71,17.61,22.76,1379.2,25.97449881
1.11,30.97274678,31.65,17.61,22.79,1379.2,26.03484291
1.1,30.51390792,31.57,17.66,22.8,1379.2,26.00321489
0.82,19.18187263,30.58,17.4,22.44,1379.2,24.01207863
1.01,26.54259979,32.45,17.13,22.11,1379.2,24.48207034
1.04,27.83386482,32.63,17.13,22.11,1379.2,24.67789082
1.08,29.6064854,32.83,17.13,22.11,1379.2,24.8906047
1.1,30.51390792,32.86,17.2,22.16,1034.4,25.09634128
1.08,29.6064854,32.2,17.31,22.39,689.6,25.26295958
1.06,28.71302734,31.78,17.49,22.54,1034.4,25.42290222
1.08,29.6064854,31.76,17.51,22.61,1379.2,25.62533599
1.09,30.05847259,31.7,17.57,22.68,1379.2,25.81811308
1.11,30.97274678,31.65,17.62,22.78,1379.2,26.00041757
1.12,31.4349433,31.63,17.62,22.85,1379.2,26.17181837
1.12,31.4349433,31.57,17.68,22.88,1379.2,26.22146079
0.9,22.10366856,31,17.4,22.5,1379.2,24.43429234
1.06,28.71302734,32.72,17.17,22.1,1379.2,24.79823496
1.1,30.51390792,32.89,17.18,22.13,1379.2,25.0438028
1.11,30.97274678,32.57,17.29,22.28,1379.2,25.29579679
1.09,30.05847259,32.05,17.4,22.48,1034.4,25.44739553
1.07,29.15798964,31.68,17.51,22.63,689.6,25.56865614
1.12,31.4349433,32.04,17.49,22.57,1034.4,25.80649677
1.29,39.75513988,33.28,17.38,22.47,1379.2,26.43781476
1.43,47.11691165,34.22,17.34,22.39,1379.2,26.99342782
1.53,52.53195926,34.99,17.33,22.33,1379.2,27.37679805
1.52,51.98759909,34.8,17.34,22.37,1379.2,27.43090039
1.46,48.73284118,34.19,17.38,22.48,1379.2,27.29814231
1,26.11965008,32.19,17.23,22.17,1379.2,24.61062968
1.08,29.6064854,32.83,17.15,22.13,1379.2,24.8914773
1.1,30.51390792,32.79,17.19,22.17,1379.2,25.11815683
1.1,30.51390792,32.44,17.31,22.3,1379.2,25.35858603
1.11,30.97274678,32.2,17.41,22.45,1034.4,25.57928184
1.12,31.4349433,32.09,17.47,22.57,689.6,25.73788324
1.22,36.23054182,32.65,17.42,22.52,1034.4,26.17275039
1.34,42.34315821,33.51,17.42,22.47,1379.2,26.70484869
1.45,48.19314031,34.22,17.41,22.44,1379.2,27.18424197
1.58,55.25624253,35.03,17.36,22.43,1379.2,27.76561784
1.66,59.60010237,35.41,17.41,22.43,1379.2,28.12607771
1.66,59.60010237,35.15,17.45,22.54,1379.2,28.2688554
1.08,29.6064854,32.35,17.3,22.33,1379.2,25.18586412
1.1,30.51390792,32.46,17.3,22.33,1379.2,25.3499803
1.11,30.97274678,32.33,17.35,22.39,1379.2,25.51671257
1.12,31.4349433,32.14,17.45,22.52,1379.2,25.68503707
1.13,31.90045026,32.05,17.49,22.63,1034.4,25.90005774
1.3,40.26842001,33.23,17.43,22.49,689.6,26.52444693
1.55,53.62146372,35.23,17.28,22.33,1034.4,27.41438715
1.78,65.98223266,36.56,17.19,22.14,1379.2,28.28013798
1.89,71.56340398,37.04,17.16,22.15,1379.2,28.74678297
1.95,74.45346574,37.12,17.19,22.19,1379.2,29.15060713
2.04,78.53634485,37.5,17.21,22.21,1379.2,29.60774571
2.06,79.39809628,37.5,17.22,22.23,1379.2,29.73302837
0.89,21.72401678,31.35,17.24,22.28,1379.2,24.1164579
1.03,27.39974232,32.54,17.13,22.11,1379.2,24.57806586
1.06,28.71302734,32.73,17.13,22.11,1379.2,24.78041125
1.09,30.05847259,32.91,17.17,22.1,1379.2,24.99545904
1.11,30.97274678,32.75,17.2,22.2,1034.4,25.18043121
1.09,30.05847259,32.33,17.34,22.33,689.6,25.29002358
1.08,29.6064854,32.09,17.41,22.43,1034.4,25.39987332
1.09,30.05847259,32.12,17.4,22.43,1379.2,25.47498554
1.11,30.97274678,32.13,17.4,22.5,1379.2,25.5896466
1.11,30.97274678,32.03,17.45,22.55,1379.2,25.72364415
1.12,31.4349433,32.01,17.5,22.58,1379.2,25.80763298
1.12,31.4349433,31.94,17.49,22.61,1379.2,25.86906695
0.92,22.87513933,31.45,17.3,22.31,1379.2,24.29065265
1.04,27.83386482,32.61,17.13,22.11,1379.2,24.65099503
1.08,29.6064854,32.82,17.13,22.11,1379.2,24.88124805
1.11,30.97274678,32.91,17.17,22.13,1379.2,25.12947008
1.1,30.51390792,32.47,17.27,22.3,1034.4,25.32892357
1.08,29.6064854,31.98,17.45,22.51,689.6,25.49070099
1.09,30.05847259,31.9,17.44,22.56,1034.4,25.61929962
1.12,31.4349433,32.07,17.48,22.53,1379.2,25.75816147
1.14,32.36921915,32.16,17.46,22.58,1379.2,25.89663644
1.15,32.84120015,32.1,17.51,22.62,1379.2,26.0358487
1.2,35.2474499,32.34,17.51,22.62,1379.2,26.24498262
1.17,33.79459253,32.22,17.52,22.63,1379.2,26.1473812
0.97,24.87368374,32.01,17.19,22.17,1379.2,24.41184856
1.05,28.27163923,32.7,17.13,22.11,1379.2,24.74569044
1.09,30.05847259,32.89,17.17,22.1,1379.2,24.95816402
1.11,30.97274678,32.83,17.2,22.18,1379.2,25.19401141
1.1,30.51390792,32.37,17.34,22.34,1034.4,25.34736572
1.08,29.6064854,31.92,17.45,22.53,689.6,25.47425869
1.09,30.05847259,31.86,17.48,22.6,1034.4,25.61222713
1.13,31.90045026,32.19,17.45,22.53,1379.2,25.78876976
1.13,31.90045026,32.12,17.45,22.56,1379.2,25.84763023
1.12,31.4349433,31.93,17.5,22.62,1379.2,25.92016701
1.12,31.4349433,31.79,17.56,22.73,1379.2,25.96732257
1.12,31.4349433,31.81,17.56,22.72,1379.2,25.98467754
0.96,24.4660925,31.86,17.2,22.2,1379.2,24.36522253
1.04,27.83386482,32.62,17.13,22.11,1379.2,24.66399701
1.07,29.15798964,32.8,17.13,22.11,1379.2,24.8619911
1.11,30.97274678,32.88,17.17,22.13,1379.2,25.1259798
1.1,30.51390792,32.4,17.33,22.33,1034.4,25.34722965
1.08,29.6064854,31.95,17.43,22.51,689.6,25.51873492
1.1,30.51390792,31.95,17.49,22.56,1034.4,25.68581556
1.15,32.84120015,32.21,17.49,22.56,1379.2,25.92932951
1.23,36.72626647,32.68,17.48,22.59,1379.2,26.31228538
1.3,40.26842001,33.1,17.49,22.55,1379.2,26.66413774
1.33,41.82137787,33.2,17.46,22.58,1379.2,26.78038247
1.3,40.26842001,33.02,17.49,22.57,1379.2,26.70949412
1,26.11965008,32.12,17.2,22.2,1379.2,24.60712668
1.08,29.6064854,32.84,17.13,22.11,1379.2,24.89788588
1.11,30.97274678,32.91,17.17,22.12,1379.2,25.12140339
1.11,30.97274678,32.58,17.26,22.27,1379.2,25.3506308
1.1,30.51390792,32.11,17.39,22.48,1034.4,25.54203528
